x,x,x,x,x,x,1.122
x,x,x,x,x,x,2
x,x,x,x,x,x,
x,x,x,x,x,x,
1,1,1,1,0,0,
2,1,2.122,1,0,0,
3,1,3.244,1,0,0,
4,1,4.366,1,0,0,
5,1,5.488,1,0,0,
6,1,6.61,1,0,0,
7,1,7.732,1,0,0,
8,1,8.854,1,0,0,
9,1,9.976,1,0,0,
10,1,11.098,1,0,0,
11,1,12.22,1,0,0,
12,1,13.342,1,0,0,
13,1,14.464,1,0,0,
14,1,15.586,1,0,0,
15,1,16.708,1,0,0,
16,1,17.83,1,0,0,
17,1,18.952,1,0,0,
18,1,20.074,1,0,0,
19,1,21.196,1,0,0,
20,1,22.318,1,0,0,
21,1,23.44,1,0,0,
22,1,24.562,1,0,0,
23,1,25.684,1,0,0,
24,1,26.806,1,0,0,
25,1,27.928,1,0,0,
26,1,29.05,1,0,0,
27,1,30.172,1,0,0,
28,1,31.294,1,0,0,
29,1,32.416,1,0,0,
30,1,33.538,1,0,0,
31,1,34.66,1,0,0,
32,1,35.782,1,0,0,
33,1,36.904,1,0,0,
34,1,38.026,1,0,0,
35,1,39.148,1,0,0,
36,1,40.27,1,0,0,
37,1,41.392,1,0,0,
38,1,42.514,1,0,0,
39,1,43.636,1,0,0,
40,1,44.758,1,0,0,
41,1,45.88,1,0,0,
42,1,47.002,1,0,0,
43,1,48.124,1,0,0,
44,1,49.246,1,0,0,
45,1,50.368,1,0,0,
46,1,51.49,1,0,0,
47,1,52.612,1,0,0,
48,1,53.734,1,0,0,
49,1,54.856,1,0,0,
50,1,55.978,1,0,0,
51,1,57.1,1,0,0,
52,1,58.222,1,0,0,
53,1,59.344,1,0,0,
54,1,60.466,1,0,0,
55,1,61.588,1,0,0,
56,1,62.71,1,0,0,
57,1,63.832,1,0,0,
58,1,64.954,1,0,0,
59,1,66.076,1,0,0,
60,1,67.198,1,0,0,
61,1,68.32,1,0,0,
62,1,69.442,1,0,0,
63,1,70.564,1,0,0,
64,1,71.686,1,0,0,
65,1,72.808,1,0,0,
66,1,73.93,1,0,0,
67,1,75.052,1,0,0,
68,1,76.174,1,0,0,
69,1,77.296,1,0,0,
70,1,78.418,1,0,0,
71,1,79.54,1,0,0,
72,1,80.662,1,0,0,
73,1,81.784,1,0,0,
74,1,82.906,1,0,0,
75,1,84.028,1,0,0,
76,1,85.15,1,0,0,
77,1,86.272,1,0,0,
78,1,87.394,1,0,0,
79,1,88.516,1,0,0,
80,1,89.638,1,0,0,
81,1,90.76,1,0,0,
82,1,91.882,1,0,0,
83,1,93.004,1,0,0,
84,1,94.126,1,0,0,
85,1,95.248,1,0,0,
86,1,96.37,1,0,0,
87,1,97.492,1,0,0,
88,1,98.614,1,0,0,
89,1,99.736,1,0,0,
90,1,1,2.122,0,0,
91,1,2.122,2.122,0,0,
92,1,3.244,2.122,0,0,
93,1,4.366,2.122,0,0,
94,1,5.488,2.122,0,0,
95,1,6.61,2.122,0,0,
96,1,7.732,2.122,0,0,
97,1,8.854,2.122,0,0,
98,1,9.976,2.122,0,0,
99,1,11.098,2.122,0,0,
100,1,12.22,2.122,0,0,
101,1,13.342,2.122,0,0,
102,1,14.464,2.122,0,0,
103,1,15.586,2.122,0,0,
104,1,16.708,2.122,0,0,
105,1,17.83,2.122,0,0,
106,1,18.952,2.122,0,0,
107,1,20.074,2.122,0,0,
108,1,21.196,2.122,0,0,
109,1,22.318,2.122,0,0,
110,1,23.44,2.122,0,0,
111,1,24.562,2.122,0,0,
112,1,25.684,2.122,0,0,
113,1,26.806,2.122,0,0,
114,1,27.928,2.122,0,0,
115,1,29.05,2.122,0,0,
116,1,30.172,2.122,0,0,
117,1,31.294,2.122,0,0,
118,1,32.416,2.122,0,0,
119,1,33.538,2.122,0,0,
120,1,34.66,2.122,0,0,
121,1,35.782,2.122,0,0,
122,1,36.904,2.122,0,0,
123,1,38.026,2.122,0,0,
124,1,39.148,2.122,0,0,
125,1,40.27,2.122,0,0,
126,1,41.392,2.122,0,0,
127,1,42.514,2.122,0,0,
128,1,43.636,2.122,0,0,
129,1,44.758,2.122,0,0,
130,1,45.88,2.122,0,0,
131,1,47.002,2.122,0,0,
132,1,48.124,2.122,0,0,
133,1,49.246,2.122,0,0,
134,1,50.368,2.122,0,0,
135,1,51.49,2.122,0,0,
136,1,52.612,2.122,0,0,
137,1,53.734,2.122,0,0,
138,1,54.856,2.122,0,0,
139,1,55.978,2.122,0,0,
140,1,57.1,2.122,0,0,
141,1,58.222,2.122,0,0,
142,1,59.344,2.122,0,0,
143,1,60.466,2.122,0,0,
144,1,61.588,2.122,0,0,
145,1,62.71,2.122,0,0,
146,1,63.832,2.122,0,0,
147,1,64.954,2.122,0,0,
148,1,66.076,2.122,0,0,
149,1,67.198,2.122,0,0,
150,1,68.32,2.122,0,0,
151,1,69.442,2.122,0,0,
152,1,70.564,2.122,0,0,
153,1,71.686,2.122,0,0,
154,1,72.808,2.122,0,0,
155,1,73.93,2.122,0,0,
156,1,75.052,2.122,0,0,
157,1,76.174,2.122,0,0,
158,1,77.296,2.122,0,0,
159,1,78.418,2.122,0,0,
160,1,79.54,2.122,0,0,
161,1,80.662,2.122,0,0,
162,1,81.784,2.122,0,0,
163,1,82.906,2.122,0,0,
164,1,84.028,2.122,0,0,
165,1,85.15,2.122,0,0,
166,1,86.272,2.122,0,0,
167,1,87.394,2.122,0,0,
168,1,88.516,2.122,0,0,
169,1,89.638,2.122,0,0,
170,1,90.76,2.122,0,0,
171,1,91.882,2.122,0,0,
172,1,93.004,2.122,0,0,
173,1,94.126,2.122,0,0,
174,1,95.248,2.122,0,0,
175,1,96.37,2.122,0,0,
176,1,97.492,2.122,0,0,
177,1,98.614,2.122,0,0,
178,1,99.736,2.122,0,0,
179,1,1,3.244,0,0,
180,1,2.122,3.244,0,0,
181,1,3.244,3.244,0,0,
182,1,4.366,3.244,0,0,
183,1,5.488,3.244,0,0,
184,1,6.61,3.244,0,0,
185,1,7.732,3.244,0,0,
186,1,8.854,3.244,0,0,
